year,Antarctica,Greenland,sea_level
2002,1.335714286,144.3471429,2525
2003,108.2690909,236.2581818,2831
2004,254.3241667,452.4825,3020
2005,221.0466667,664.8225,3459
2006,122.2341667,924.0041667,3572
2007,308.605,1198.280833,3612
2008,579.0975,1463.603333,3818
2009,555.5866667,1689.8325,4304
2010,833.7483333,2070.831667,4402
2011,930.7522222,2535.065556,4306
2012,1063.852727,2928.457273,5391
2013,1273.432222,3276.176667,5694
2014,1483.8,3433.99,6049
2015,1834.441111,3616.082222,7006
2016,1755.063333,3854.114444,7211
2017,1786.19,3995.082,7296
2018,2131.666,4159.53,7689
2019,2252.23,4472.015833,8379
2020,2518.505,4862.8325,8434
2021,2662.78,5023.691667,8856
2022,2461.59,5154.755556,9125
